stop_id,stop_name,stop_latitude,stop_longitude
57799,Terminus Fairview,45.4662869,-73.8302068
58551,Morgan / face à Prestige,45.4258348,-73.9155595
57605,Stillview / Hymus,45.4534471,-73.8364949
58347,Brunswick / du Merlot,45.4564560,-73.8615375
57673,Hymus / Hilary,45.4633689,-73.8137611
58416,Sainte-Marie / No 18111,45.4427714,-73.8796826
57744,Bord-du-Lac / de la Baie-de-Valois,45.4482632,-73.7911936
58496,Lakeshore / Saint-Andrew's,45.4053542,-73.9308314
57731,Donegani / Broadview,45.4495461,-73.7950278
58223,Antoine-Faucon / des Cageux,45.4537375,-73.8802799
57814,Brunswick / Plymouth,45.4630488,-73.8382528
57620,Saint-Jean / Brunswick,45.4677197,-73.8296485
58360,Hymus / de Châteauneuf,45.4499764,-73.8463664
57686,Hymus / Winthrop,45.4649011,-73.8103737
57597,des Sources / Avro,45.4667270,-73.7877352
58423,Beaconsfield / Lakeview,45.4178741,-73.8896164
60987,Institut national de santé (Ste-Marie/No 20045),45.4333033,-73.9069875
57397,Parkfield / Avila-Legault,45.4528900,-73.7724340
57762,des Sources / Chanteclerc,45.4544420,-73.7823981
58509,Lakeshore / Apple Hill,45.4128560,-73.9018900
57823,Brunswick / Terminus Fairview,45.4666826,-73.8307138
58581,Sainte-Marie / No 21025,45.4253180,-73.9275260
57637,Hymus / Paprican,45.4586336,-73.8253516
58377,Brunswick / Dubonnet,45.4560362,-73.8584520
58461,Saint-Charles / Creswell,45.4433166,-73.8508368
57695,Lakeview / Lansdowne Gardens,45.4400057,-73.8083559
58432,Beaconsfield / Legault,45.4205720,-73.8760880
58532,Clark-Graham / Morgan,45.4218368,-73.9172371
58255,Gouin / No 18923,45.4608291,-73.9021625
60535,Donegani / Maywood,45.4451546,-73.8111638
57650,Douglas-Shand / Oakridge,45.4475580,-73.8220430
58391,Saint-Charles / No 2768,45.4459407,-73.8525522
58317,Gouin / No 20392,45.4595586,-73.9241260
58475,Beaconsfield / Saint-Charles,45.4309803,-73.8464617
58112,Antoine-Faucon / Saint-Charles,45.4599496,-73.8669700
57708,Gare Pointe-Claire (Donegani / Ashgrove),45.4478303,-73.8025965
58446,Beaconsfield / Shore,45.4255410,-73.8625730
57849,Sommerset / Roosevelt,45.4676016,-73.8504995
57784,Douglas-Shand / Maywood,45.4510452,-73.8137189
58545,Clark-Graham / No 20275,45.4209497,-73.9200293
58341,Henri-Daoust / Harmony,45.4549477,-73.8714802
60888,Auto Plaza / Brunswick,45.4662939,-73.8325150
57659,Saint-Jean / Douglas-Shand,45.4495133,-73.8182502
58402,Brunswick / de Salaberry,45.4582153,-73.8498479
57738,de la Baie-de-Valois / Mount-Pleasant,45.4513910,-73.7919360
58493,Gare Beaconsfield,45.4352109,-73.8480886
57725,Broadview / John-Fisher,45.4573170,-73.7982330
57798,Terminus Fairview,45.4654234,-73.8311437
57614,Hymus / No 285,45.4547183,-73.8330493
58354,Saint-Charles / Kirkland,45.4476571,-73.8537666
58415,Brunswick / du Syrah,45.4600414,-73.8452116
58593,Sainte-Anne / Autoroute 20,45.4043294,-73.9540947
57383,Bord-du-Lac / Lake,45.4445201,-73.7771821
57747,Donegani / Queen,45.4502656,-73.7894738
58503,Morgan / Lakeshore,45.4088770,-73.9157289
58230,du Château-Pierrefonds / Meloche,45.4566656,-73.8895694
57817,Donegani / Gateway,45.4469818,-73.8048814
58564,Gare Ste-Anne-de-Bellevue (Garden City/Pacifique),45.4077282,-73.9516705
57623,Hymus / Alston,45.4566703,-73.8288794
58363,Hymus / Eaton,45.4501680,-73.8428739
58455,Beaconsfield / Gables,45.4268470,-73.8570900
58083,de Pierrefonds / Nanterre,45.4645651,-73.8815044
57689,Saint-Louis / Cavell,45.4543440,-73.8090000
57604,Hymus / Stillview,45.4529011,-73.8363086
58426,Beaconsfield / Woodland,45.4194840,-73.8830390
57400,Neptune / Bord-du-Lac,45.4408710,-73.7717530
57761,des Sources / Chanteclerc,45.4543349,-73.7820807
58512,Lakeshore / Wilson,45.4135860,-73.8988220
58239,de Pierrefonds / Prével,45.4610455,-73.8885709
57831,Brunswick / Hermitage,45.4617495,-73.8407651
